year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,arr_de15
2025,5,9E,Endeavor Air Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",92.0,17.0,4.8,1.24,4.29,0.0,6.67,4.0,2.0,1834.0,517.0,555.0,283.0,0.0,479.0,17.0
2025,5,9E,Endeavor Air Inc.,ALB,"Albany, NY: Albany International",83.0,26.0,6.01,0.0,2.88,0.0,17.11,4.0,0.0,1975.0,857.0,0.0,83.0,0.0,1035.0,26.0
2025,5,9E,Endeavor Air Inc.,ATW,"Appleton, WI: Appleton International",12.0,1.0,0.61,0.0,0.39,0.0,0.0,0.0,0.0,18.0,11.0,0.0,7.0,0.0,0.0,1.0
2025,5,9E,Endeavor Air Inc.,AUS,"Austin, TX: Austin - Bergstrom International",75.0,28.0,8.99,0.65,14.54,0.0,3.83,1.0,0.0,1771.0,577.0,40.0,595.0,0.0,559.0,28.0
2025,5,9E,Endeavor Air Inc.,BGM,"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",6.0,1.0,0.83,0.0,0.17,0.0,0.0,0.0,0.0,139.0,115.0,0.0,24.0,0.0,0.0,1.0
2025,5,9E,Endeavor Air Inc.,BGR,"Bangor, ME: Bangor International",92.0,19.0,2.17,0.0,3.88,0.75,12.2,1.0,0.0,1194.0,172.0,0.0,147.0,21.0,854.0,19.0
2025,5,9E,Endeavor Air Inc.,BIS,"Bismarck/Mandan, ND: Bismarck Municipal",81.0,10.0,4.23,0.22,0.21,0.0,5.34,0.0,0.0,698.0,304.0,5.0,26.0,0.0,363.0,10.0
2025,5,9E,Endeavor Air Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",70.0,25.0,5.69,1.11,8.6,0.0,9.6,1.0,0.0,1982.0,360.0,728.0,386.0,0.0,508.0,25.0
2025,5,9E,Endeavor Air Inc.,BTV,"Burlington, VT: Burlington International",120.0,24.0,3.2,0.92,3.46,0.0,16.42,7.0,0.0,1643.0,104.0,125.0,139.0,0.0,1275.0,24.0
2025,5,9E,Endeavor Air Inc.,CID,"Cedar Rapids/Iowa City, IA: The Eastern Iowa",76.0,16.0,4.21,1.95,3.16,0.0,6.68,2.0,0.0,1142.0,231.0,331.0,140.0,0.0,440.0,16.0
2025,5,9E,Endeavor Air Inc.,CMH,"Columbus, OH: John Glenn Columbus International",28.0,7.0,2.38,0.0,2.47,0.0,2.16,0.0,0.0,418.0,99.0,0.0,130.0,0.0,189.0,7.0
2025,5,9E,Endeavor Air Inc.,CRW,"Charleston/Dunbar, WV: West Virginia International Yeager",37.0,4.0,1.42,0.54,1.58,0.0,0.46,0.0,1.0,140.0,35.0,36.0,38.0,0.0,31.0,4.0
2025,5,9E,Endeavor Air Inc.,CSG,"Columbus, GA: Columbus Airport",87.0,24.0,7.73,1.39,4.88,0.0,10.0,1.0,0.0,1594.0,489.0,49.0,175.0,0.0,881.0,24.0
2025,5,9E,Endeavor Air Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",27.0,11.0,4.44,0.0,1.74,0.0,4.82,0.0,0.0,1943.0,1167.0,0.0,174.0,0.0,602.0,11.0
2025,5,9E,Endeavor Air Inc.,DHN,"Dothan, AL: Dothan Regional",87.0,21.0,5.56,1.85,7.66,0.0,5.92,2.0,0.0,1427.0,411.0,259.0,353.0,0.0,404.0,21.0
2025,5,9E,Endeavor Air Inc.,DLH,"Duluth, MN: Duluth International",37.0,12.0,2.64,0.0,1.59,0.0,7.77,1.0,0.0,1001.0,152.0,0.0,80.0,0.0,769.0,12.0
2025,5,9E,Endeavor Air Inc.,EVV,"Evansville, IN: Evansville Regional",113.0,24.0,11.27,0.81,6.41,0.0,5.51,1.0,0.0,1711.0,606.0,213.0,306.0,0.0,586.0,24.0
2025,5,9E,Endeavor Air Inc.,EYW,"Key West, FL: Key West International",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025,5,9E,Endeavor Air Inc.,FAR,"Fargo, ND: Hector International",61.0,9.0,2.82,0.0,1.39,0.0,4.79,1.0,0.0,805.0,229.0,0.0,100.0,0.0,476.0,9.0
2025,5,9E,Endeavor Air Inc.,FAY,"Fayetteville, NC: Fayetteville Regional/Grannis Field",98.0,18.0,6.77,1.78,3.13,0.0,6.31,1.0,0.0,1779.0,429.0,764.0,213.0,0.0,373.0,18.0
2025,5,9E,Endeavor Air Inc.,FSD,"Sioux Falls, SD: Joe Foss Field",16.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,266.0,266.0,0.0,0.0,0.0,0.0,2.0
2025,5,9E,Endeavor Air Inc.,GFK,"Grand Forks, ND: Grand Forks International",36.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0
2025,5,9E,Endeavor Air Inc.,GRB,"Green Bay, WI: Green Bay Austin Straubel International",6.0,2.0,0.13,0.0,1.0,0.0,0.87,0.0,0.0,93.0,10.0,0.0,17.0,0.0,66.0,2.0
2025,5,9E,Endeavor Air Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",50.0,12.0,3.74,0.02,1.35,0.0,6.89,2.0,0.0,1256.0,247.0,5.0,54.0,0.0,950.0,12.0
2025,5,9E,Endeavor Air Inc.,GSO,"Greensboro/High Point, NC: Piedmont Triad International",103.0,25.0,6.34,0.0,5.8,0.0,12.86,4.0,0.0,1727.0,297.0,0.0,340.0,0.0,1090.0,25.0
2025,5,9E,Endeavor Air Inc.,GTR,"Columbus, MS: Golden Triangle Regional",62.0,9.0,1.93,0.78,0.6,0.0,5.68,0.0,1.0,682.0,145.0,98.0,35.0,0.0,404.0,9.0
2025,5,9E,Endeavor Air Inc.,HSV,"Huntsville, AL: Huntsville International-Carl T Jones Field",85.0,21.0,3.74,0.0,8.47,0.0,8.79,1.0,0.0,1462.0,288.0,0.0,354.0,0.0,820.0,21.0
2025,5,9E,Endeavor Air Inc.,IAD,"Washington, DC: Washington Dulles International",60.0,16.0,3.72,0.0,7.35,0.0,4.94,3.0,0.0,1223.0,189.0,0.0,565.0,0.0,469.0,16.0
2025,5,9E,Endeavor Air Inc.,ICT,"Wichita, KS: Wichita Dwight D Eisenhower National",26.0,6.0,2.21,0.0,1.02,0.0,2.77,1.0,0.0,626.0,138.0,0.0,57.0,0.0,431.0,6.0
2025,5,9E,Endeavor Air Inc.,ITH,"Ithaca/Cortland, NY: Ithaca Tompkins International",62.0,14.0,4.8,0.0,1.28,0.0,7.92,6.0,1.0,941.0,379.0,0.0,58.0,0.0,504.0,14.0
2025,5,9E,Endeavor Air Inc.,JAN,"Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International",32.0,14.0,4.12,0.0,2.84,0.0,7.03,0.0,0.0,716.0,205.0,1.0,91.0,0.0,419.0,14.0
2025,5,9E,Endeavor Air Inc.,LEX,"Lexington, KY: Blue Grass",55.0,18.0,3.93,0.0,4.16,0.0,9.9,1.0,0.0,1485.0,396.0,0.0,176.0,0.0,913.0,18.0
2025,5,9E,Endeavor Air Inc.,LFT,"Lafayette, LA: Lafayette Regional Paul Fournet Field",48.0,13.0,2.62,1.32,5.31,0.0,3.75,1.0,0.0,927.0,363.0,99.0,229.0,0.0,236.0,13.0
2025,5,9E,Endeavor Air Inc.,LIT,"Little Rock, AR: Bill and Hillary Clinton Nat Adams Field",34.0,18.0,6.44,0.0,4.51,0.0,7.05,0.0,0.0,1653.0,560.0,0.0,229.0,0.0,864.0,18.0
2025,5,9E,Endeavor Air Inc.,MCI,"Kansas City, MO: Kansas City International",56.0,21.0,5.99,0.0,11.05,0.0,3.96,1.0,0.0,1581.0,814.0,0.0,372.0,0.0,395.0,21.0
2025,5,9E,Endeavor Air Inc.,MGM,"Montgomery, AL: Montgomery Regional",37.0,13.0,5.94,1.28,2.86,0.0,2.92,0.0,0.0,616.0,241.0,127.0,142.0,0.0,106.0,13.0
2025,5,9E,Endeavor Air Inc.,MLI,"Moline, IL: Quad Cities International",62.0,16.0,2.89,1.51,5.39,0.0,6.2,0.0,0.0,605.0,68.0,134.0,167.0,0.0,236.0,16.0
2025,5,9E,Endeavor Air Inc.,MSN,"Madison, WI: Dane County Regional-Truax Field",47.0,12.0,2.93,1.0,0.85,0.0,7.22,0.0,0.0,1728.0,258.0,1008.0,58.0,0.0,404.0,12.0
2025,5,9E,Endeavor Air Inc.,OAJ,"Jacksonville/Camp Lejeune, NC: Albert J Ellis",118.0,24.0,7.34,0.4,3.99,0.0,12.27,4.0,1.0,1760.0,651.0,23.0,298.0,0.0,788.0,24.0
2025,5,9E,Endeavor Air Inc.,OMA,"Omaha, NE: Eppley Airfield",59.0,14.0,2.14,0.0,4.75,0.0,7.11,2.0,0.0,1006.0,167.0,0.0,218.0,0.0,621.0,14.0
2025,5,9E,Endeavor Air Inc.,ORD,"Chicago, IL: Chicago O'Hare International",91.0,16.0,3.72,1.0,5.75,0.0,5.53,4.0,1.0,879.0,191.0,28.0,266.0,0.0,394.0,16.0
2025,5,9E,Endeavor Air Inc.,ORH,"Worcester, MA: Worcester Regional",26.0,8.0,1.13,1.52,0.97,0.0,4.38,1.0,0.0,592.0,69.0,60.0,76.0,0.0,387.0,8.0
